year,finish,start,car,driver,team,make_model,laps,status,prize_money
2023,1,17,2,Josef Newgarden,Team Penske,Chevrolet,200,NA,NA
2023,2,10,8,Marcus Ericsson,Chip Ganassi Racing,Honda,200,NA,NA
2023,3,4,14,Santino Ferrucci,A.J. Foyt Racing,Chevrolet,200,NA,NA
2023,4,1,10,Álex Palou,Chip Ganassi Racing,Honda,200,NA,NA
2023,5,7,7,Alexander Rossi,Arrow McLaren,Chevrolet,200,NA,NA
2023,6,6,9,Scott Dixon,Chip Ganassi Racing,Honda,200,NA,NA
2023,7,8,11,Takuma Sato,Chip Ganassi Racing,Honda,200,NA,NA
2023,8,16,20,Conor Daly,Ed Carpenter Racing,Chevrolet,200,NA,NA
2023,9,21,26,Colton Herta,Andretti Autosport,Honda,200,NA,NA
2023,10,2,21,Rinus VeeKay,Ed Carpenter Racing,Chevrolet,200,NA,NA
2023,11,18,23,Ryan Hunter-Reay,Dreyer & Reinbold Racing,Chevrolet,200,NA,NA
2023,12,27,77,Callum Ilott,Juncos Hollinger Racing,Chevrolet,200,NA,NA
2023,13,25,29,Devlin DeFrancesco,Andretti Autosport,Honda,200,NA,NA
2023,14,14,3,Scott McLaughlin,Team Penske,Chevrolet,200,NA,NA
2023,15,20,6,Helio Castroneves,Meyer Shank Racing,Honda,200,NA,NA
2023,16,9,66,Tony Kanaan,Arrow McLaren,Chevrolet,200,NA,NA
2023,17,24,98,Marco Andretti,Andretti Herta Motorsport,Honda,200,NA,NA
2023,18,32,30,Jack Harvey,Rahal Letterman Lanigan Racing,Honda,199,NA,NA
2023,19,30,45,Christian Lundgaard,Rahal Letterman Lanigan Racing,Honda,198,NA,NA
2023,20,13,33,Ed Carpenter,Ed Carpenter Racing,Chevrolet,197,NA,NA
2023,21,11,55,Benjamin Pedersen,A.J. Foyt Racing,Chevrolet,196,NA,NA
2023,22,33,24,Graham Rahal,Dreyer & Reinbold Racing,Chevrolet,195,NA,NA
2023,23,12,12,Will Power,Team Penske,Chevrolet,195,NA,NA
2023,24,5,5,Pato O'Ward,Arrow McLaren,Chevrolet,192,NA,NA
2023,25,22,60,Simon Pagenaud,Meyer Shank Racing,Honda,192,NA,NA
2023,26,26,78,Agustin Canapino,Juncos Hollinger Racing,Chevrolet,192,NA,NA
2023,27,3,6,Felix Rosenqvist,Arrow McLaren,Chevrolet,183,NA,NA
2023,28,15,27,Kyle Kirkwood,Andretti Autosport,Honda,183,NA,NA
2023,29,23,18,David Malukas,Dale Coyne Racing,Honda,160,NA,NA
2023,30,19,28,Romain Grosjean,Andretti Autosport,Honda,149,NA,NA
2023,31,31,51,Sting Ray Robb,Dale Coyne Racing,Honda,90,NA,NA
2023,32,28,50,RC Enerson,Abel Motorsports,Chevrolet,75,NA,NA
2023,33,29,44,Katherine Legge,Rahal Letterman Lanigan Racing,Honda,41,NA,NA
2022,1,5,8,Marcus Ericsson,Chip Ganassi Racing,Dallara / Honda / Firestone,200,175.428,"$3,100,000"
2022,2,7,5,Patricio O'Ward,Arrow McLaren SP,Dallara / Chevrolet / Firestone,200,175.397,"$1,000,000"
2022,3,6,1,Tony Kanaan,Chip Ganassi Racing,Dallara / Honda / Firestone,200,175.367,"$400,000"
2022,4,8,7,Felix Rosenqvist,Arrow McLaren SP,Dallara / Chevrolet / Firestone,200,175.357,"$570,500"
2022,5,20,27,Alexander Rossi,Andretti Autosport,Dallara / Honda / Firestone,200,175.342,"$548,000"
2022,6,18,20,Conor Daly,Ed Carpenter Racing,Dallara / Chevrolet / Firestone,200,175.341,"$527,100"
2022,7,27,6,Helio Castroneves,Meyer Shank Racing,Dallara / Honda / Firestone,200,175.315,"$205,300"
2022,8,16,60,Simon Pagenaud,Meyer Shank Racing,Dallara / Honda / Firestone,200,175.306,"$507,000"
2022,9,2,10,Alex Palou,Chip Ganassi Racing,Dallara / Honda / Firestone,200,175.287,"$569,600"
2022,10,15,23,Santino Ferrucci,Dreyer and Reinbold Racing,Dallara / Chevrolet / Firestone,200,175.26,"$134,500"
2022,11,30,6,Juan Pablo Montoya,Arrow McLaren SP,Dallara / Chevrolet / Firestone,200,175.229,"$127,000"
2022,12,17,17,JR Hildebrand,AJ Foyt Enterprises,Dallara / Chevrolet / Firestone,200,175.229,"$175,300"
2022,13,14,2,Josef Newgarden,Team Penske,Dallara / Chevrolet / Firestone,200,175.226,"$530,000"
2022,14,21,15,Graham Rahal,Rahal Letterman Lanigan Racing,Dallara / Honda / Firestone,200,175.215,"$483,000"
2022,15,11,12,Will Power,Team Penske,Dallara / Chevrolet / Firestone,200,175.2,"$474,300"
2022,16,13,18,David Malukas,Dale Coyne Racing with HMD Motorsports,Dallara / Honda / Firestone,200,175.195,"$463,000"
2022,17,28,14,Kyle Kirkwood,AJ Foyt Enterprises,Dallara / Chevrolet / Firestone,200,175.179,"$463,000"
2022,18,31,30,Christian Lundgaard,Rahal Letterman Lanigan Racing,Dallara / Honda / Firestone,200,175.149,"$463,000"
2022,19,4,33,Ed Carpenter,Ed Carpenter Racing,Dallara / Chevrolet / Firestone,200,175.162,"$117,000"
2022,20,24,29,Devlin DeFrancesco,Andretti Steinbrenner Autosport,Dallara / Honda / Firestone,200,175.158,"$463,000"
2022,21,1,9,Scott Dixon,Chip Ganassi Racing,Dallara / Honda / Firestone,200,175.118,"$707,000"
2022,22,23,98,Marco Andretti,Andretti Herta with Marco & Curb Agajanian,Dallara / Honda / Firestone,200,174.998,"$114,400"
2022,23,22,24,Sage Karam,Dreyer and Reinbold Racing,Dallara / Chevrolet / Firestone,199,Contact,"$104,500"
2022,24,32,45,Jack Harvey,Rahal Letterman Lanigan Racing,Dallara / Honda / Firestone,199,174.247,"$158,800"
2022,25,10,51,Takuma Sato,Dale Coyne Racing with RWR,Dallara / Honda / Firestone,199,174.175,"$462,000"
2022,26,33,25,Stefan Wilson,DragonSpeed / Cusick Motorsports,Dallara / Chevrolet / Firestone,198,173.344,"$102,000"
2022,27,29,4,Dalton Kellett,AJ Foyt Enterprises,Dallara / Chevrolet / Firestone,198,173.359,"$462,000"
